focus,target,position,rms_int,mean_f0,max_f0,min_f0,range_f0,variance,std,stressed_syllable_duration,stressed_vowel_duration,znorm_rms_int,znorm_max_f0,znorm_dur
broad,daisy,object,74.41,174.78,176.09,170.46,5.63,3.23,1.8,0.13,0.13,-0.12,-0.52,0.71
broad,damon,object,74.98,193.46,196.79,185.55,11.24,15.67,3.96,0.2,0.15,0.01,-0.23,1.24
broad,dorah,object,71.37,197.36,211.6,178.91,32.69,163.64,12.79,0.18,0.08,-0.2,-1.09,1.16
broad,harry,object,68.05,186.66,200.09,160.03,40.06,157.31,12.54,0.21,0.04,-0.62,-0.29,-1.25
broad,jamie,object,76.99,179.09,193.45,159.78,33.67,152.53,12.35,0.27,0.09,-0.21,0.01,-1.37
broad,jonah,object,76.81,179.11,186.34,162.61,23.73,58.59,7.66,0.19,0.09,-0.21,-0.28,0.45
broad,jonny,object,71.44,167.52,181.88,151.74,30.14,162.86,12.76,0.24,0.06,-0.12,-0.5,-0.43
broad,maddie,object,63.17,163.02,177.72,146.3,31.43,134.57,11.6,0.33,0.23,-0.7,-0.32,1.3
broad,mary,object,77.24,176.92,190.61,136.28,54.33,263.03,16.22,0.29,0.11,0.38,-0.32,0.93
contrastive,daisy,object,65.85,132.86,133.47,129.77,3.71,1.91,1.38,0.13,0.13,-1.08,-0.87,0.24
contrastive,damon,object,70.04,116.87,125.7,104.04,21.66,71.73,8.47,0.17,0.12,-0.53,-0.9,0.49
contrastive,dorah,object,64.16,136.46,141.11,122.67,18.44,26.36,5.13,0.19,0.09,-0.59,-0.85,0.15
contrastive,harry,object,60.55,136.7,141.18,134.16,7.02,4.57,2.14,0.2,0.04,-1.22,-0.97,-0.41
contrastive,jamie,object,65.5,123.13,130.56,117.25,13.31,22.71,4.76,0.23,0.07,-1.09,-1.09,-1.41
contrastive,jonah,object,69.07,139.6,144.92,125.64,19.28,43.12,6.57,0.2,0.11,-0.76,-0.78,0.52
contrastive,jonny,object,67.58,127.72,138.98,101.46,37.52,120.61,10.98,0.22,0.05,-0.3,-1.07,-0.71
contrastive,maddie,object,51.39,,,,,,,0.27,0.17,-1.11,-1.33,1.24
contrastive,mary,object,67.66,123.35,127,120.35,6.65,6.96,2.64,0.22,0.08,-1.05,-1.13,-0.77
given,daisy,object,75.28,143.74,143.74,143.74,0,0,0,0.08,0.08,-0.64,-1.04,0.43
given,damon,object,67.83,138.99,140.44,135.25,5.19,2.57,1.6,0.11,0.04,-0.84,-1.02,-0.96
given,dorah,object,71.6,152.87,156.01,145.47,10.54,12.44,3.53,0.15,0.07,-0.45,-1.33,0.72
given,harry,object,70.84,163.84,169.23,143.37,25.86,41.78,6.46,0.22,0.05,-1.41,-1.18,-0.67
given,jamie,object,72.81,144.22,145.59,141.79,3.8,1.13,1.06,0.26,0.12,-0.93,-1.24,1.36
given,jonah,object,73.46,143.36,152.83,88.21,64.62,359.35,18.96,0.14,0.07,-0.76,-1.26,-0.99
given,jonny,object,70.04,152.33,155.22,148.12,7.1,5.43,2.33,0.18,0.05,-0.12,-1.08,-0.71
given,maddie,object,65.3,131.39,146.38,114.58,31.8,153.65,12.39,0.28,0.18,-1.08,-1.16,1.4
given,mary,object,79.51,133.54,142.82,82.25,60.58,248.21,15.76,0.14,0.08,0.47,-1.27,-0.1
narrow,daisy,object,69.3,145.96,152.61,94.74,57.87,328.02,18.11,0.09,0.09,-0.72,-1.03,0.19
narrow,damon,object,72,127.32,132.61,117.62,14.99,28.27,5.32,0.14,0.06,-0.31,-1.21,-0.95
narrow,dorah,object,69.35,142.62,144.78,140.15,4.63,4.02,2,0.15,0.07,-0.58,-0.96,0.23
narrow,harry,object,71.44,155.25,158.74,150.99,7.75,7.79,2.79,0.19,0.05,-0.01,0.27,-0.98
narrow,jamie,object,70.37,125.58,135.07,121.44,13.63,12.09,3.48,0.25,0.09,-1.18,-1.33,-1
narrow,jonah,object,73.95,162.87,166.42,154.55,11.87,15.71,3.96,0.18,0.07,-0.81,-0.97,-0.64
narrow,jonny,object,67.78,133.75,138.77,122.48,16.28,23.71,4.87,0.2,0.05,-0.33,-1.23,-0.46
narrow,maddie,object,59.57,110.19,135.96,85.8,50.15,255.82,15.99,0.26,0.16,-0.75,-0.72,1.27
narrow,mary,object,71.25,129.85,137.68,119.2,18.47,43.21,6.57,0.25,0.09,-0.31,-1.19,0.46
broad,daisy,subject,80.63,231.89,238.36,217.12,21.24,46.78,6.84,0.15,0.13,1.28,1.4,0.71
broad,damon,subject,81.38,253.63,255.83,248.84,6.99,7.22,2.69,0.12,0.1,1.22,1.32,-0.03
broad,dorah,subject,78.29,235.22,253.45,219.25,34.2,120.33,10.97,0.09,0.06,1.31,1.32,0.11
broad,harry,subject,76.42,229.31,231.08,226.46,4.62,2.77,1.66,0.2,0.11,1.41,1.34,1.19
broad,jamie,subject,82.62,225.11,226.14,221.09,5.04,1.95,1.4,0.18,0.1,1.31,1.22,0.4
broad,jonah,subject,82.29,227.4,230.87,219.39,11.48,17.51,4.18,0.17,0.1,1.32,1.34,0.93
broad,jonny,subject,80.58,224.95,226.53,218.72,7.81,4.27,2.07,0.2,0.13,1.28,1.4,1.38
broad,maddie,subject,75.28,202.85,219.38,160.21,59.16,221.07,14.87,0.34,0.13,1.41,1.35,-0.16
broad,mary,subject,79.49,211.75,233.65,180.46,53.19,335.35,18.31,0.19,0.1,0.99,1.35,0.45
contrastive,daisy,subject,81.41,238.14,257.41,215.05,42.36,294.68,17.17,0.18,0.16,1.33,1.4,1.08
contrastive,damon,subject,80.9,252.85,273.37,220.41,52.96,380.56,19.51,0.16,0.14,1.4,1.4,0.91
contrastive,dorah,subject,82.38,238.62,246.71,220.39,26.32,72.14,8.49,0.17,0.13,1.41,1.4,1.14
contrastive,harry,subject,73.8,288.19,288.19,288.19,0,0,0,0.17,0.03,1.23,1.38,-0.97
contrastive,jamie,subject,80.42,245.29,253.42,230.14,23.29,66.25,8.14,0.18,0.11,1.33,1.33,0.71
contrastive,jonah,subject,80.81,234.68,249.56,209.97,39.6,216.88,14.73,0.19,0.12,1.41,1.41,0.88
contrastive,jonny,subject,80.58,221.9,230.42,214.23,16.19,32.61,5.71,0.2,0.12,1.35,1.34,1.41
contrastive,maddie,subject,72.27,212.1,232.66,175.72,56.94,318.54,17.85,0.38,0.13,1.31,1.09,-0.04
contrastive,mary,subject,77.87,213.85,242.89,169.29,73.6,628.66,25.07,0.28,0.15,1.34,1.3,1.41
given,daisy,subject,83.87,197.09,198.34,195.99,2.36,0.71,0.84,0.12,0.1,1.41,1.35,0.95
given,damon,subject,80.16,188.98,190.51,184.42,6.09,3.96,1.99,0.11,0.1,1.41,1.36,1.38
given,dorah,subject,81.25,191.55,192.56,190.19,2.37,0.54,0.73,0.1,0.07,1.39,1.08,0.69
given,harry,subject,75.08,209.51,209.64,208.89,0.74,0.08,0.28,0.17,0.05,0.84,1.26,-0.74
given,jamie,subject,81.05,204.65,204.87,203.42,1.45,0.17,0.41,0.16,0.1,1.39,1.21,-0.33
given,jonah,subject,76.98,176.81,177.46,175.2,2.26,0.86,0.93,0.16,0.09,1.41,1.18,1.37
given,jonny,subject,78.07,178.49,180.76,177.45,3.31,0.89,0.94,0.16,0.11,1.28,1.33,1.41
given,maddie,subject,76.45,184.79,189.86,171.63,18.23,27.98,5.29,0.32,0.1,1.33,1.28,-0.52
given,mary,subject,80.23,180.45,182.18,177.31,4.87,3.35,1.83,0.15,0.1,0.92,1.17,1.27
narrow,daisy,subject,81.17,218.67,221.91,207.74,14.18,21.45,4.63,0.14,0.11,1.41,1.35,1.12
narrow,damon,subject,80.96,211.18,211.94,209.62,2.31,0.84,0.92,0.11,0.09,1.35,1.24,1.38
narrow,dorah,subject,82.36,211.41,214.71,206.02,8.69,10.97,3.31,0.14,0.1,1.41,1.38,1.09
narrow,harry,subject,78.58,236.7,237.32,233.57,3.75,1.67,1.29,0.14,0.07,1.23,1.07,-0.39
narrow,jamie,subject,81.17,217.41,219.77,208.31,11.46,11.65,3.41,0.17,0.1,1.26,1.08,-0.37
narrow,jonah,subject,81.16,198.31,199.66,194.53,5.12,2.87,1.69,0.16,0.1,1.41,1.38,1.41
narrow,jonny,subject,78.52,186.21,193.68,176.29,17.39,37.7,6.14,0.15,0.09,1.36,1.22,1.39
narrow,maddie,subject,75.75,205.56,220.81,175.75,45.06,175.96,13.27,0.28,0.11,1.41,1.41,-0.1
narrow,mary,subject,78.9,202.36,207.55,188.3,19.25,38.53,6.21,0.2,0.1,1.35,1.26,0.93
broad,daisy,verb,69.79,160.47,164.24,155.23,9.01,12.64,3.56,0.25,0.05,-1.16,-0.88,-1.41
broad,damon,verb,68.44,162.46,163.81,157.12,6.69,4.32,2.08,0.21,0.06,-1.23,-1.09,-1.21
broad,dorah,verb,67.17,182.97,226.54,147.17,79.38,262.32,16.2,0.27,0.03,-1.11,-0.23,-1.28
broad,harry,verb,67.34,171.5,185.69,163.95,21.75,30.31,5.51,0.26,0.08,-0.79,-1.05,0.06
broad,jamie,verb,73.64,156.86,159.62,151.29,8.32,5.81,2.41,0.22,0.1,-1.11,-1.23,0.98
broad,jonah,verb,73.6,162.88,164.65,160.91,3.75,2.26,1.5,0.17,0.05,-1.11,-1.06,-1.39
broad,jonny,verb,64.65,170.41,172.59,165.28,7.32,5.42,2.33,0.2,0.04,-1.16,-0.9,-0.95
broad,maddie,verb,63.04,159.41,160.03,157.91,2.12,0.38,0.62,0.24,0.07,-0.72,-1.03,-1.14
broad,mary,verb,70.84,158,172.47,152.92,19.55,27.06,5.2,0.27,0.06,-1.37,-1.03,-1.39
contrastive,daisy,verb,71.15,142.15,151.62,129.79,21.82,45.03,6.71,0.23,0.07,-0.26,-0.54,-1.33
contrastive,damon,verb,68.14,120.28,151.09,110.66,40.44,220.78,14.86,0.26,0.06,-0.87,-0.5,-1.39
contrastive,dorah,verb,62.04,150.26,155.01,140.76,14.24,22.23,4.71,0.27,0.04,-0.82,-0.55,-1.29
contrastive,harry,verb,67.1,158.99,176.79,152.19,24.6,47.48,6.89,0.27,0.1,-0.01,-0.4,1.38
contrastive,jamie,verb,70.76,143.68,173.73,132.83,40.9,114.54,10.7,0.24,0.11,-0.24,-0.24,0.71
contrastive,jonah,verb,69.61,145.55,151.99,137.85,14.14,22.73,4.77,0.2,0.07,-0.66,-0.63,-1.4
contrastive,jonny,verb,61.75,164.38,169.44,156.86,12.57,30.18,5.49,0.22,0.05,-1.04,-0.27,-0.71
contrastive,maddie,verb,59.19,148,150.62,139.38,11.24,12.6,3.55,0.26,0.09,-0.2,0.24,-1.21
contrastive,mary,verb,70.9,145.4,172.96,131.04,41.92,115.34,10.74,0.24,0.08,-0.29,-0.17,-0.65
given,daisy,verb,74.75,152.5,160.31,140.7,19.61,26.97,5.19,0.22,0.03,-0.77,-0.31,-1.38
given,damon,verb,69.34,153.96,154.68,151.69,3,0.54,0.74,0.2,0.05,-0.56,-0.34,-0.41
given,dorah,verb,69.07,177.78,180.14,159.73,20.41,22.51,4.74,0.27,0.04,-0.93,0.26,-1.41
given,harry,verb,74.56,168.93,187.47,147.45,40.02,89.71,9.47,0.26,0.06,0.57,-0.08,1.41
given,jamie,verb,74.47,160.35,176.07,148.1,27.97,45.16,6.72,0.21,0.09,-0.46,0.02,-1.03
given,jonah,verb,73.62,161.47,166.43,155.04,11.38,17.91,4.23,0.18,0.07,-0.66,0.09,-0.38
given,jonny,verb,64.11,163.24,164.12,158.94,5.18,1.92,1.39,0.2,0.05,-1.16,-0.24,-0.71
given,maddie,verb,69.09,152.56,164.82,146.85,17.97,26.11,5.11,0.24,0.09,-0.26,-0.12,-0.88
given,mary,verb,76.51,159.5,165,139.88,25.12,60.84,7.8,0.23,0.07,-1.39,0.1,-1.17
narrow,daisy,verb,69.5,157.43,173.42,141.65,31.77,54.13,7.36,0.24,0.05,-0.69,-0.32,-1.31
narrow,damon,verb,68.1,146.6,170.66,137.25,33.41,67.81,8.23,0.25,0.07,-1.04,-0.03,-0.43
narrow,dorah,verb,67.76,153.8,161.27,149.32,11.96,14.48,3.81,0.29,0.02,-0.82,-0.41,-1.32
narrow,harry,verb,64.41,0,0,0,0,0,0,0.04,0.1,-1.22,-1.34,1.37
narrow,jamie,verb,75.22,155.57,190.46,132.05,58.42,208.22,14.43,0.25,0.12,-0.08,0.25,1.37
narrow,jonah,verb,74.62,168.59,174.41,160.03,14.38,27.08,5.2,0.19,0.07,-0.6,-0.41,-0.78
narrow,jonny,verb,63.38,163.47,166.84,152.75,14.09,31.28,5.59,0.27,0.04,-1.02,0.02,-0.93
narrow,maddie,verb,60.24,127.5,136.73,118.4,18.32,67.3,8.2,0.23,0.06,-0.66,-0.7,-1.17
narrow,mary,verb,67.91,161.6,169.46,154.38,15.08,28.87,5.37,0.23,0.07,-1.04,-0.07,-1.39
